Element type                                            Size  Used MEM
Tensor62                                              (256,)     2.00K
Tensor63                                         (1, 111709)     0.00B
Tensor64                                              (8, 1)   512.00B
Tensor65                                                (8,)   512.00B
Tensor66                                              (8, 8)   512.00B
Tensor67                                                (8,)   512.00B
Tensor68                                              (2, 8)   512.00B
Tensor69                                                (2,)   512.00B
Tensor70                                              (8, 1)   512.00B
Tensor71                                                (8,)   512.00B
Tensor72                                              (8, 8)   512.00B
Tensor73                                                (8,)   512.00B
Tensor74                                              (2, 8)   512.00B
Tensor75                                                (2,)   512.00B
Tensor76                                              (8, 1)   512.00B
Tensor77                                                (8,)   512.00B
Tensor78                                              (8, 8)   512.00B
Tensor79                                                (8,)   512.00B
Tensor80                                              (2, 8)   512.00B
Tensor81                                                (2,)   512.00B
Tensor82                                              (8, 1)   512.00B
Tensor83                                                (8,)   512.00B
Tensor84                                              (8, 8)   512.00B
Tensor85                                                (8,)   512.00B
Tensor86                                              (2, 8)   512.00B
Tensor87                                                (2,)   512.00B
Tensor88                                              (8, 1)   512.00B
Tensor89                                                (8,)   512.00B
Tensor90                                              (8, 8)   512.00B
Tensor91                                                (8,)   512.00B
Tensor92                                              (2, 8)   512.00B
Tensor93                                                (2,)   512.00B
Tensor94                                                (1,)   512.00B
Tensor95                                                (1,)   512.00B
Tensor96                                                (1,)   512.00B
Tensor97                                                (1,)   512.00B
Tensor98                                                (1,)   512.00B
Tensor99                                                (1,)   512.00B
Tensor100                                               (1,)   512.00B
Tensor101                                               (1,)   512.00B
Tensor102                                               (1,)   512.00B
Tensor103                                               (1,)   512.00B
Tensor104                                               (1,)   512.00B
Tensor105                                               (1,)   512.00B
Tensor106                                               (1,)   512.00B
Tensor107                                               (1,)   512.00B
Tensor108                                               (1,)   512.00B
Tensor109                                               (1,)   512.00B
Tensor110                                               (1,)   512.00B
Tensor111                                               (1,)   512.00B
Tensor112                                             (8, 1)   512.00B
Tensor113                                             (8, 8)   512.00B
Tensor114                                             (2, 8)   512.00B
Tensor115                                             (8, 1)   512.00B
Tensor116                                             (8, 8)   512.00B
Tensor117                                             (2, 8)   512.00B
Tensor118                                             (8, 1)   512.00B
Tensor119                                             (8, 8)   512.00B
Tensor120                                             (2, 8)   512.00B
Tensor121                                             (8, 1)   512.00B
Tensor122                                             (8, 8)   512.00B
Tensor123                                             (2, 8)   512.00B
Tensor124                                             (8, 1)   512.00B
Tensor125                                             (8, 8)   512.00B
Tensor126                                             (2, 8)   512.00B
Tensor127                                          (1600, 1)     6.50K
Tensor128                                          (1600, 1)     6.50K
Tensor129                                          (1600, 1)     6.50K
Tensor130                                          (1600, 1)     6.50K
Tensor131                                          (1600, 1)     6.50K
Tensor132                                          (1600, 1)     6.50K
Tensor133                                       (50, 111709)    21.31M
Tensor134                                            (50, 1)   512.00B
Tensor135                                          (1600, 1)     0.00B
Tensor136                                          (1600, 1)     6.50K
Tensor137                                          (1600, 1)     6.50K
Tensor138                                          (1600, 1)     6.50K
Tensor139                                          (1600, 1)     6.50K
Tensor140                                          (1600, 1)     6.50K
Tensor141                                          (1600, 1)     6.50K
Tensor142                                          (1600, 1)     6.50K
Tensor143                                          (1600, 1)     6.50K
Tensor144                                          (1600, 1)     6.50K
Tensor145                                          (1600, 1)     6.50K
Tensor146                                          (1600, 1)     6.50K
Tensor147                                        (1, 111709)     0.00B
Tensor148                                             (8, 1)   512.00B
Tensor149                                               (8,)   512.00B
Tensor150                                             (8, 8)   512.00B
Tensor151                                               (8,)   512.00B
Tensor152                                             (2, 8)   512.00B
Tensor153                                               (2,)   512.00B
Tensor154                                             (8, 1)   512.00B
Tensor155                                               (8,)   512.00B
Tensor156                                             (8, 8)   512.00B
Tensor157                                               (8,)   512.00B
Tensor158                                             (2, 8)   512.00B
Tensor159                                               (2,)   512.00B
Tensor160                                             (8, 1)   512.00B
Tensor161                                               (8,)   512.00B
Tensor162                                             (8, 8)   512.00B
Tensor163                                               (8,)   512.00B
Tensor164                                             (2, 8)   512.00B
Tensor165                                               (2,)   512.00B
Tensor166                                             (8, 1)   512.00B
Tensor167                                               (8,)   512.00B
Tensor168                                             (8, 8)   512.00B
Tensor169                                               (8,)   512.00B
Tensor170                                             (2, 8)   512.00B
Tensor171                                               (2,)   512.00B
Tensor172                                             (8, 1)   512.00B
Tensor173                                               (8,)   512.00B
Tensor174                                             (8, 8)   512.00B
Tensor175                                               (8,)   512.00B
Tensor176                                             (2, 8)   512.00B
Tensor177                                               (2,)   512.00B
Tensor178                                             (8, 1)   512.00B
Tensor179                                             (8, 1)   512.00B
Tensor180                                             (8, 1)   512.00B
Tensor181                                               (8,)   512.00B
Tensor182                                               (8,)   512.00B
Tensor183                                               (8,)   512.00B
Tensor184                                             (8, 8)   512.00B
Tensor185                                             (8, 8)   512.00B
Tensor186                                             (8, 8)   512.00B
Tensor187                                               (8,)   512.00B
Tensor188                                               (8,)   512.00B
Tensor189                                               (8,)   512.00B
Tensor190                                             (2, 8)   512.00B
Tensor191                                             (2, 8)   512.00B
Tensor192                                             (2, 8)   512.00B
Tensor193                                               (2,)   512.00B
Tensor194                                               (2,)   512.00B
Tensor195                                               (2,)   512.00B
Tensor196                                             (8, 1)   512.00B
Tensor197                                             (8, 1)   512.00B
Tensor198                                             (8, 1)   512.00B
Tensor199                                               (8,)   512.00B
Tensor200                                               (8,)   512.00B
Tensor201                                               (8,)   512.00B
Tensor202                                             (8, 8)   512.00B
Tensor203                                             (8, 8)   512.00B
Tensor204                                             (8, 8)   512.00B
Tensor205                                               (8,)   512.00B
Tensor206                                               (8,)   512.00B
Tensor207                                               (8,)   512.00B
Tensor208                                             (2, 8)   512.00B
Tensor209                                             (2, 8)   512.00B
Tensor210                                             (2, 8)   512.00B
Tensor211                                               (2,)   512.00B
Tensor212                                               (2,)   512.00B
Tensor213                                               (2,)   512.00B
Tensor214                                             (8, 1)   512.00B
Tensor215                                             (8, 1)   512.00B
Tensor216                                             (8, 1)   512.00B
Tensor217                                               (8,)   512.00B
Tensor218                                               (8,)   512.00B
Tensor219                                               (8,)   512.00B
Tensor220                                             (8, 8)   512.00B
Tensor221                                             (8, 8)   512.00B
Tensor222                                             (8, 8)   512.00B
Tensor223                                               (8,)   512.00B
Tensor224                                               (8,)   512.00B
Tensor225                                               (8,)   512.00B
Tensor226                                             (2, 8)   512.00B
Tensor227                                             (2, 8)   512.00B
Tensor228                                             (2, 8)   512.00B
Tensor229                                               (2,)   512.00B
Tensor230                                               (2,)   512.00B
Tensor231                                               (2,)   512.00B
Tensor232                                             (8, 1)   512.00B
Tensor233                                             (8, 1)   512.00B
Tensor234                                             (8, 1)   512.00B
Tensor235                                               (8,)   512.00B
Tensor236                                               (8,)   512.00B
Tensor237                                               (8,)   512.00B
Tensor238                                             (8, 8)   512.00B
Tensor239                                             (8, 8)   512.00B
Tensor240                                             (8, 8)   512.00B
Tensor241                                               (8,)   512.00B
Tensor242                                               (8,)   512.00B
Tensor243                                               (8,)   512.00B
Tensor244                                             (2, 8)   512.00B
Tensor245                                             (2, 8)   512.00B
Tensor246                                             (2, 8)   512.00B
Tensor247                                               (2,)   512.00B
Tensor248                                               (2,)   512.00B
Tensor249                                               (2,)   512.00B
Tensor250                                             (8, 1)   512.00B
Tensor251                                             (8, 1)   512.00B
Tensor252                                             (8, 1)   512.00B
Tensor253                                               (8,)   512.00B
Tensor254                                               (8,)   512.00B
Tensor255                                               (8,)   512.00B
Tensor256                                             (8, 8)   512.00B
Tensor257                                             (8, 8)   512.00B
Tensor258                                             (8, 8)   512.00B
Tensor259                                               (8,)   512.00B
Tensor260                                               (8,)   512.00B
Tensor261                                               (8,)   512.00B
Tensor262                                             (2, 8)   512.00B
Tensor263                                             (2, 8)   512.00B
Tensor264                                             (2, 8)   512.00B
Tensor265                                               (2,)   512.00B
Tensor266                                               (2,)   512.00B
Tensor267                                               (2,)   512.00B
Tensor268                                               (1,)   512.00B
Tensor269                                               (1,)   512.00B
Tensor270                                          (1600, 1)     6.50K
Tensor271                                       (50, 111709)    21.31M
Tensor272                                            (50, 1)   512.00B
Tensor273                                        (1, 111709)     0.00B
Tensor274                                             (8, 1)   512.00B
Tensor275                                               (8,)   512.00B
Tensor276                                             (8, 8)   512.00B
Tensor277                                               (8,)   512.00B
Tensor278                                             (2, 8)   512.00B
Tensor279                                               (2,)   512.00B
Tensor280                                             (8, 1)   512.00B
Tensor281                                               (8,)   512.00B
Tensor282                                             (8, 8)   512.00B
Tensor283                                               (8,)   512.00B
Tensor284                                             (2, 8)   512.00B
Tensor285                                               (2,)   512.00B
Tensor286                                             (8, 1)   512.00B
Tensor287                                               (8,)   512.00B
Tensor288                                             (8, 8)   512.00B
Tensor289                                               (8,)   512.00B
Tensor290                                             (2, 8)   512.00B
Tensor291                                               (2,)   512.00B
Tensor292                                             (8, 1)   512.00B
Tensor293                                               (8,)   512.00B
Tensor294                                             (8, 8)   512.00B
Tensor295                                               (8,)   512.00B
Tensor296                                             (2, 8)   512.00B
Tensor297                                               (2,)   512.00B
Tensor298                                             (8, 1)   512.00B
Tensor299                                               (8,)   512.00B
Tensor300                                             (8, 8)   512.00B
Tensor301                                               (8,)   512.00B
Tensor302                                             (2, 8)   512.00B
Tensor303                                               (2,)   512.00B
Tensor304                                             (8, 1)   512.00B
Tensor305                                             (8, 1)   512.00B
Tensor306                                             (8, 1)   512.00B
Tensor307                                               (8,)   512.00B
Tensor308                                               (8,)   512.00B
Tensor309                                               (8,)   512.00B
Tensor310                                             (8, 8)   512.00B
Tensor311                                             (8, 8)   512.00B
Tensor312                                             (8, 8)   512.00B
Tensor313                                               (8,)   512.00B
Tensor314                                               (8,)   512.00B
Tensor315                                               (8,)   512.00B
Tensor316                                             (2, 8)   512.00B
Tensor317                                             (2, 8)   512.00B
Tensor318                                             (2, 8)   512.00B
Tensor319                                               (2,)   512.00B
Tensor320                                               (2,)   512.00B
Tensor321                                               (2,)   512.00B
Tensor322                                             (8, 1)   512.00B
Tensor323                                             (8, 1)   512.00B
Tensor324                                             (8, 1)   512.00B
Tensor325                                               (8,)   512.00B
Tensor326                                               (8,)   512.00B
Tensor327                                               (8,)   512.00B
Tensor328                                             (8, 8)   512.00B
Tensor329                                             (8, 8)   512.00B
Tensor330                                             (8, 8)   512.00B
Tensor331                                               (8,)   512.00B
Tensor332                                               (8,)   512.00B
Tensor333                                               (8,)   512.00B
Tensor334                                             (2, 8)   512.00B
Tensor335                                             (2, 8)   512.00B
Tensor336                                             (2, 8)   512.00B
Tensor337                                               (2,)   512.00B
Tensor338                                               (2,)   512.00B
Tensor339                                               (2,)   512.00B
Tensor340                                             (8, 1)   512.00B
Tensor341                                             (8, 1)   512.00B
Tensor342                                             (8, 1)   512.00B
Tensor343                                               (8,)   512.00B
Tensor344                                               (8,)   512.00B
Tensor345                                               (8,)   512.00B
Tensor346                                             (8, 8)   512.00B
Tensor347                                             (8, 8)   512.00B
Tensor348                                             (8, 8)   512.00B
Tensor349                                               (8,)   512.00B
Tensor350                                               (8,)   512.00B
Tensor351                                               (8,)   512.00B
Tensor352                                             (2, 8)   512.00B
Tensor353                                             (2, 8)   512.00B
Tensor354                                             (2, 8)   512.00B
Tensor355                                               (2,)   512.00B
Tensor356                                               (2,)   512.00B
Tensor357                                               (2,)   512.00B
Tensor358                                             (8, 1)   512.00B
Tensor359                                             (8, 1)   512.00B
Tensor360                                             (8, 1)   512.00B
Tensor361                                               (8,)   512.00B
Tensor362                                               (8,)   512.00B
Tensor363                                               (8,)   512.00B
Tensor364                                             (8, 8)   512.00B
Tensor365                                             (8, 8)   512.00B
Tensor366                                             (8, 8)   512.00B
Tensor367                                               (8,)   512.00B
Tensor368                                               (8,)   512.00B
Tensor369                                               (8,)   512.00B
Tensor370                                             (2, 8)   512.00B
Tensor371                                             (2, 8)   512.00B
Tensor372                                             (2, 8)   512.00B
Tensor373                                               (2,)   512.00B
Tensor374                                               (2,)   512.00B
Tensor375                                               (2,)   512.00B
Tensor376                                             (8, 1)   512.00B
Tensor377                                             (8, 1)   512.00B
Tensor378                                             (8, 1)   512.00B
Tensor379                                               (8,)   512.00B
Tensor380                                               (8,)   512.00B
Tensor381                                               (8,)   512.00B
Tensor382                                             (8, 8)   512.00B
Tensor383                                             (8, 8)   512.00B
Tensor384                                             (8, 8)   512.00B
Tensor385                                               (8,)   512.00B
Tensor386                                               (8,)   512.00B
Tensor387                                               (8,)   512.00B
Tensor388                                             (2, 8)   512.00B
Tensor389                                             (2, 8)   512.00B
Tensor390                                             (2, 8)   512.00B
Tensor391                                               (2,)   512.00B
Tensor392                                               (2,)   512.00B
Tensor393                                               (2,)   512.00B
Tensor394                                               (1,)   512.00B
Tensor395                                               (1,)   512.00B
Tensor396                                          (1600, 1)     6.50K
Tensor397                                       (50, 111709)    21.31M
Tensor398                                            (50, 1)   512.00B
Parameter399                                          (8, 1)   512.00B
Parameter399.grad                                     (8, 1)     0.00B
Parameter400                                            (8,)   512.00B
Parameter400.grad                                       (8,)     0.00B
Parameter401                                          (8, 8)   512.00B
Parameter401.grad                                     (8, 8)     0.00B
Parameter402                                            (8,)   512.00B
Parameter402.grad                                       (8,)     0.00B
Parameter403                                          (2, 8)   512.00B
Parameter403.grad                                     (2, 8)     0.00B
Parameter404                                            (2,)   512.00B
Parameter404.grad                                       (2,)     0.00B
Parameter405                                          (8, 1)   512.00B
Parameter405.grad                                     (8, 1)     0.00B
Parameter406                                            (8,)   512.00B
Parameter406.grad                                       (8,)     0.00B
Parameter407                                          (8, 8)   512.00B
Parameter407.grad                                     (8, 8)     0.00B
Parameter408                                            (8,)   512.00B
Parameter408.grad                                       (8,)     0.00B
Parameter409                                          (2, 8)   512.00B
Parameter409.grad                                     (2, 8)     0.00B
Parameter410                                            (2,)   512.00B
Parameter410.grad                                       (2,)     0.00B
Tensor411                                          (1600, 1)     6.50K
Tensor412                                          (1600, 1)     6.50K
Tensor413                                               (1,)   512.00B
Tensor414                                               (1,)   512.00B
Tensor415                                               (1,)   512.00B
Tensor416                                               (1,)   512.00B
Tensor417                                          (1600, 1)     6.50K
Tensor418                                          (1600, 1)     6.50K
Tensor419                                          (1600, 1)     6.50K
Tensor420                                          (1600, 1)     6.50K
Tensor421                                          (1600, 1)     0.00B
Tensor422                                               (1,)   512.00B
Tensor423                                               (1,)   512.00B
Tensor424                                          (1600, 1)     6.50K
Tensor425                                             (8, 1)   512.00B
Tensor426                                             (8, 8)   512.00B
Tensor427                                             (2, 8)   512.00B
Tensor428                                             (8, 1)   512.00B
Tensor429                                             (8, 8)   512.00B
Tensor430                                             (2, 8)   512.00B
Tensor431                                        (1, 111709)     0.00B
Tensor432                                             (8, 1)   512.00B
Tensor433                                               (8,)   512.00B
Tensor434                                             (8, 8)   512.00B
Tensor435                                               (8,)   512.00B
Tensor436                                             (2, 8)   512.00B
Tensor437                                               (2,)   512.00B
Tensor438                                             (8, 1)   512.00B
Tensor439                                               (8,)   512.00B
Tensor440                                             (8, 8)   512.00B
Tensor441                                               (8,)   512.00B
Tensor442                                             (2, 8)   512.00B
Tensor443                                               (2,)   512.00B
Tensor444                                             (8, 1)   512.00B
Tensor445                                               (8,)   512.00B
Tensor446                                             (8, 8)   512.00B
Tensor447                                               (8,)   512.00B
Tensor448                                             (2, 8)   512.00B
Tensor449                                               (2,)   512.00B
Tensor450                                             (8, 1)   512.00B
Tensor451                                               (8,)   512.00B
Tensor452                                             (8, 8)   512.00B
Tensor453                                               (8,)   512.00B
Tensor454                                             (2, 8)   512.00B
Tensor455                                               (2,)   512.00B
Tensor456                                             (8, 1)   512.00B
Tensor457                                               (8,)   512.00B
Tensor458                                             (8, 8)   512.00B
Tensor459                                               (8,)   512.00B
Tensor460                                             (2, 8)   512.00B
Tensor461                                               (2,)   512.00B
Tensor462                                             (8, 1)   512.00B
Tensor463                                             (8, 1)   512.00B
Tensor464                                             (8, 1)   512.00B
Tensor465                                               (8,)   512.00B
Tensor466                                               (8,)   512.00B
Tensor467                                               (8,)   512.00B
Tensor468                                             (8, 8)   512.00B
Tensor469                                             (8, 8)   512.00B
Tensor470                                             (8, 8)   512.00B
Tensor471                                               (8,)   512.00B
Tensor472                                               (8,)   512.00B
Tensor473                                               (8,)   512.00B
Tensor474                                             (2, 8)   512.00B
Tensor475                                             (2, 8)   512.00B
Tensor476                                             (2, 8)   512.00B
Tensor477                                               (2,)   512.00B
Tensor478                                               (2,)   512.00B
Tensor479                                               (2,)   512.00B
Tensor480                                             (8, 1)   512.00B
Tensor481                                             (8, 1)   512.00B
Tensor482                                             (8, 1)   512.00B
Tensor483                                               (8,)   512.00B
Tensor484                                               (8,)   512.00B
Tensor485                                               (8,)   512.00B
Tensor486                                             (8, 8)   512.00B
Tensor487                                             (8, 8)   512.00B
Tensor488                                             (8, 8)   512.00B
Tensor489                                               (8,)   512.00B
Tensor490                                               (8,)   512.00B
Tensor491                                               (8,)   512.00B
Tensor492                                             (2, 8)   512.00B
Tensor493                                             (2, 8)   512.00B
Tensor494                                             (2, 8)   512.00B
Tensor495                                               (2,)   512.00B
Tensor496                                               (2,)   512.00B
Tensor497                                               (2,)   512.00B
Tensor498                                             (8, 1)   512.00B
Tensor499                                             (8, 1)   512.00B
Tensor500                                             (8, 1)   512.00B
Tensor501                                               (8,)   512.00B
Tensor502                                               (8,)   512.00B
Tensor503                                               (8,)   512.00B
Tensor504                                             (8, 8)   512.00B
Tensor505                                             (8, 8)   512.00B
Tensor506                                             (8, 8)   512.00B
Tensor507                                               (8,)   512.00B
Tensor508                                               (8,)   512.00B
Tensor509                                               (8,)   512.00B
Tensor510                                             (2, 8)   512.00B
Tensor511                                             (2, 8)   512.00B
Tensor512                                             (2, 8)   512.00B
Tensor513                                               (2,)   512.00B
Tensor514                                               (2,)   512.00B
Tensor515                                               (2,)   512.00B
Tensor516                                             (8, 1)   512.00B
Tensor517                                             (8, 1)   512.00B
Tensor518                                             (8, 1)   512.00B
Tensor519                                               (8,)   512.00B
Tensor520                                               (8,)   512.00B
Tensor521                                               (8,)   512.00B
Tensor522                                             (8, 8)   512.00B
Tensor523                                             (8, 8)   512.00B
Tensor524                                             (8, 8)   512.00B
Tensor525                                               (8,)   512.00B
Tensor526                                               (8,)   512.00B
Tensor527                                               (8,)   512.00B
Tensor528                                             (2, 8)   512.00B
Tensor529                                             (2, 8)   512.00B
Tensor530                                             (2, 8)   512.00B
Tensor531                                               (2,)   512.00B
Tensor532                                               (2,)   512.00B
Tensor533                                               (2,)   512.00B
Tensor534                                             (8, 1)   512.00B
Tensor535                                             (8, 1)   512.00B
Tensor536                                             (8, 1)   512.00B
Tensor537                                               (8,)   512.00B
Tensor538                                               (8,)   512.00B
Tensor539                                               (8,)   512.00B
Tensor540                                             (8, 8)   512.00B
Tensor541                                             (8, 8)   512.00B
Tensor542                                             (8, 8)   512.00B
Tensor543                                               (8,)   512.00B
Tensor544                                               (8,)   512.00B
Tensor545                                               (8,)   512.00B
Tensor546                                             (2, 8)   512.00B
Tensor547                                             (2, 8)   512.00B
Tensor548                                             (2, 8)   512.00B
Tensor549                                               (2,)   512.00B
Tensor550                                               (2,)   512.00B
Tensor551                                               (2,)   512.00B
Tensor552                                               (1,)   512.00B
Tensor553                                               (1,)   512.00B
Tensor554                                          (1600, 1)     6.50K
Tensor555                                       (50, 111709)    21.31M
Tensor556                                            (50, 1)   512.00B
Tensor557                                        (1, 111709)     0.00B
Tensor558                                             (8, 1)   512.00B
Tensor559                                               (8,)   512.00B
Tensor560                                             (8, 8)   512.00B
Tensor561                                               (8,)   512.00B
Tensor562                                             (2, 8)   512.00B
Tensor563                                               (2,)   512.00B
Tensor564                                             (8, 1)   512.00B
Tensor565                                               (8,)   512.00B
Tensor566                                             (8, 8)   512.00B
Tensor567                                               (8,)   512.00B
Tensor568                                             (2, 8)   512.00B
Tensor569                                               (2,)   512.00B
Tensor570                                             (8, 1)   512.00B
Tensor571                                               (8,)   512.00B
Tensor572                                             (8, 8)   512.00B
Tensor573                                               (8,)   512.00B
Tensor574                                             (2, 8)   512.00B
Tensor575                                               (2,)   512.00B
Tensor576                                             (8, 1)   512.00B
Tensor577                                               (8,)   512.00B
Tensor578                                             (8, 8)   512.00B
Tensor579                                               (8,)   512.00B
Tensor580                                             (2, 8)   512.00B
Tensor581                                               (2,)   512.00B
Tensor582                                             (8, 1)   512.00B
Tensor583                                               (8,)   512.00B
Tensor584                                             (8, 8)   512.00B
Tensor585                                               (8,)   512.00B
Tensor586                                             (2, 8)   512.00B
Tensor587                                               (2,)   512.00B
Tensor588                                             (8, 1)   512.00B
Tensor589                                             (8, 1)   512.00B
Tensor590                                             (8, 1)   512.00B
Tensor591                                               (8,)   512.00B
Tensor592                                               (8,)   512.00B
Tensor593                                               (8,)   512.00B
Tensor594                                             (8, 8)   512.00B
Tensor595                                             (8, 8)   512.00B
Tensor596                                             (8, 8)   512.00B
Tensor597                                               (8,)   512.00B
Tensor598                                               (8,)   512.00B
Tensor599                                               (8,)   512.00B
Tensor600                                             (2, 8)   512.00B
Tensor601                                             (2, 8)   512.00B
Tensor602                                             (2, 8)   512.00B
Tensor603                                               (2,)   512.00B
Tensor604                                               (2,)   512.00B
Tensor605                                               (2,)   512.00B
Tensor606                                             (8, 1)   512.00B
Tensor607                                             (8, 1)   512.00B
Tensor608                                             (8, 1)   512.00B
Tensor609                                               (8,)   512.00B
Tensor610                                               (8,)   512.00B
Tensor611                                               (8,)   512.00B
Tensor612                                             (8, 8)   512.00B
Tensor613                                             (8, 8)   512.00B
Tensor614                                             (8, 8)   512.00B
Tensor615                                               (8,)   512.00B
Tensor616                                               (8,)   512.00B
Tensor617                                               (8,)   512.00B
Tensor618                                             (2, 8)   512.00B
Tensor619                                             (2, 8)   512.00B
